Image	StartTime	PMIMage	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	Pan1Omega	Pan1Phi	Pan1Kappa	Pan2Omega	Pan2Phi	Pan2Kappa	Pan3Omega	Pan3Phi	Pan3Kappa	Pan4Omega	Pan4Phi	Pan4Kappa	PANplatformcalib	MSplatformcalib	GraduatePan	GraduateNIR	GraduateRGB	GNtags	GBtags	GRtags	GVtags	GR00	GR01	GR02	GR10	GR11	GR12	GR20	GR21	GR22	GB00	GB01	GB02	GB10	GB11	GB12	GB20	GB21	GB22	GN00	GN01	GN02	GN10	GN11	GN12	GN20	GN21	GN22	GV00	GV01	GV02	GV10	GV11	GV12	GV20	GV21	GV22	TDI	MaxTDI	GBMatching	GBmatched	GBNumInv	GBOut	GBRMS	GRMatching	GRmatched	GRNumInv	GROut	GRRMS	GNMatching	GNmatched	GNNumInv	GNOut	GNRMS	GVMatching	GVmatched	GVNumInv	GVOut	GVRMS	GVDist	
3322a_320_01~0011	"04/15/13 16:06:46"	D:/CGA/Users/Dugal/MSc	10010	16.0	8.0	7.7	8.7	7.8	3.5	3.5	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045706	9.978402	87.036928	17.896630	-10.300120	93.346939	-18.055621	-9.991169	-93.419754	-17.888247	10.313929	-87.158995	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9803036020E-001	-3.7427052097E-003	3.0697332151E+003	9.0464078562E-004	-1.0002726698E+000	2.0342342788E+003	2.8251379305E-007	-1.9974432868E-006	1.0000000000E+000	-9.9728085592E-001	-6.6824310033E-003	3.0699974948E+003	2.5658888543E-003	-1.0003153795E+000	2.0270460905E+003	2.6616606392E-007	-2.8362500543E-006	1.0000000000E+000	9.9911225984E-001	-4.9458059370E-003	5.8154874652E+000	3.2079906746E-003	9.9747677443E-001	-6.4171012131E-001	1.6513164761E-007	-1.3230363751E-006	1.0000000000E+000	-2.2749064065E-002	-4.8022227460E+000	8.9996148559E+003	4.7960418046E+000	-3.5352965212E-002	-1.7836893418E+002	2.1526710091E-007	-1.7463564457E-006	1.0000000000E+000	4	144	288	274	46	41	0.07090	288	275	26	33	0.07229	288	230	198	7	0.05485	288	248	80	24	0.27462	2.17
3322a_320_01~0012	"04/15/13 16:07:46"	D:/CGA/Users/Dugal/MSc	10011	16.0	8.0	7.7	8.7	7.8	3.5	3.5	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045556	9.978064	87.037064	17.895851	-10.299977	93.346397	-18.055346	-9.990708	-93.421249	-17.887580	10.313650	-87.160838	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9785584935E-001	-3.9185406885E-003	3.0693171392E+003	8.1215301364E-004	-1.0002913778E+000	2.0342342630E+003	2.3708511825E-007	-2.1379248784E-006	1.0000000000E+000	-9.9723031696E-001	-6.7902820161E-003	3.0699276317E+003	2.4580555803E-003	-1.0003793990E+000	2.0272308319E+003	2.4290745507E-007	-2.8858551552E-006	1.0000000000E+000	9.9901222373E-001	-5.3224448827E-003	6.2588357083E+000	3.3188535950E-003	9.9719849947E-001	-7.7306234745E-001	2.7029121493E-007	-1.5364041911E-006	1.0000000000E+000	-2.2712136442E-002	-4.8022724871E+000	9.0001009815E+003	4.7966266522E+000	-3.6119728909E-002	-1.7826244970E+002	2.7559121595E-007	-1.7952543542E-006	1.0000000000E+000	4	144	288	275	41	41	0.06875	288	275	18	34	0.07049	288	224	11	35	0.13527	288	270	64	28	0.29395	1.52
3322a_320_01~0013	"04/15/13 16:08:49"	D:/CGA/Users/Dugal/MSc	10012	16.0	8.0	7.7	8.7	7.8	3.6	3.6	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045560	9.978149	87.037036	17.896198	-10.300146	93.347007	-18.055500	-9.990789	-93.421709	-17.887777	10.313832	-87.161353	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9801518210E-001	-3.8004708786E-003	3.0697656776E+003	8.9621351895E-004	-1.0003014391E+000	2.0343265074E+003	2.9483556539E-007	-2.0179166830E-006	1.0000000000E+000	-9.9727314256E-001	-6.6746508394E-003	3.0700453433E+003	2.4619063823E-003	-1.0003474783E+000	2.0272837036E+003	2.6179429967E-007	-2.8089220780E-006	1.0000000000E+000	9.9871687936E-001	-5.1598876856E-003	6.3035944986E+000	3.2522959626E-003	9.9701934284E-001	-6.5872526455E-001	1.3131760859E-007	-1.4503704251E-006	1.0000000000E+000	-2.2715465268E-002	-4.8027502548E+000	9.0010436114E+003	4.7977038886E+000	-3.5444371058E-002	-1.7980006374E+002	3.1668237531E-007	-1.7621131918E-006	1.0000000000E+000	4	144	288	286	25	29	0.07621	288	287	16	35	0.08016	288	230	7	28	0.15289	288	292	70	32	0.30670	1.80
3322a_320_01~0014	"04/15/13 16:09:51"	D:/CGA/Users/Dugal/MSc	10013	16.0	8.0	7.7	8.7	7.8	3.6	3.6	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045854	9.978004	87.037027	17.896105	-10.299831	93.347155	-18.055615	-9.990930	-93.421772	-17.887895	10.313781	-87.161472	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9787734344E-001	-3.9041666559E-003	3.0692716803E+003	7.5932988229E-004	-1.0001845089E+000	2.0341113435E+003	1.6639621517E-007	-2.0930380893E-006	1.0000000000E+000	-9.9721867004E-001	-6.7426475370E-003	3.0698042516E+003	2.4481365874E-003	-1.0002550726E+000	2.0270439592E+003	1.7715188070E-007	-2.8367993262E-006	1.0000000000E+000	9.9876790427E-001	-5.1642474029E-003	6.2568161749E+000	3.2623668867E-003	9.9698758043E-001	-6.2703049130E-001	1.4451122656E-007	-1.4514697897E-006	1.0000000000E+000	-2.2793527133E-002	-4.8020200489E+000	8.9998461113E+003	4.7962789758E+000	-3.5308807771E-002	-1.7852692800E+002	2.1838501840E-007	-1.6918902804E-006	1.0000000000E+000	4	144	288	280	24	43	0.06420	288	280	11	38	0.07353	288	222	6	30	0.12601	288	268	48	29	0.28254	1.80
3322a_320_01~0015	"04/15/13 16:10:52"	D:/CGA/Users/Dugal/MSc	10014	16.0	8.0	7.7	8.7	7.8	3.6	3.6	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045726	9.978380	87.036931	17.896728	-10.300425	93.347098	-18.055733	-9.990868	-93.421329	-17.888223	10.313966	-87.159428	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9796200957E-001	-3.7760065031E-003	3.0693884571E+003	7.4540923201E-004	-1.0001419598E+000	2.0341443919E+003	1.7420146026E-007	-2.0217394504E-006	1.0000000000E+000	-9.9725571432E-001	-6.6947814957E-003	3.0699065183E+003	2.4537626032E-003	-1.0002581004E+000	2.0270930928E+003	2.0855760538E-007	-2.8151985378E-006	1.0000000000E+000	9.9866828008E-001	-5.1912642184E-003	6.4084149549E+000	3.2184904921E-003	9.9694418993E-001	-4.8755365993E-001	1.1078620304E-007	-1.4134393107E-006	1.0000000000E+000	-2.2599919165E-002	-4.8024045573E+000	9.0004528339E+003	4.7977222046E+000	-3.4820705618E-002	-1.8007727050E+002	2.8133676202E-007	-1.6521934943E-006	1.0000000000E+000	4	144	288	278	16	36	0.06995	288	278	9	37	0.07063	288	223	5	24	0.13845	288	265	72	33	0.28206	1.66
3322a_320_01~0016	"04/15/13 16:11:54"	D:/CGA/Users/Dugal/MSc	10015	16.0	8.0	7.7	8.7	7.8	3.6	3.6	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045416	9.978208	87.037045	17.896275	-10.300261	93.346840	-18.055528	-9.990811	-93.421163	-17.887679	10.313929	-87.161797	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9793760101E-001	-3.8283343638E-003	3.0696936636E+003	9.6770514482E-004	-1.0003732729E+000	2.0342931243E+003	3.2352329241E-007	-2.0382908695E-006	1.0000000000E+000	-9.9719763568E-001	-6.7572001146E-003	3.0699056093E+003	2.5818403650E-003	-1.0003650916E+000	2.0270903460E+003	2.6126141299E-007	-2.8605730413E-006	1.0000000000E+000	9.9856922042E-001	-5.1908680899E-003	6.3926282909E+000	3.2234398257E-003	9.9691154056E-001	-5.6349692784E-001	1.0092869371E-007	-1.4814075446E-006	1.0000000000E+000	-2.2892593674E-002	-4.8022600958E+000	9.0001119520E+003	4.7959197026E+000	-3.6194838665E-002	-1.7767910233E+002	2.3490811629E-007	-1.8043944541E-006	1.0000000000E+000	4	144	288	284	21	34	0.07253	288	284	15	34	0.07272	288	243	5	24	0.13482	288	261	61	23	0.26248	2.42
3322a_320_01~0017	"04/15/13 16:12:56"	D:/CGA/Users/Dugal/MSc	10016	16.0	8.0	7.7	8.7	7.8	3.5	3.5	4.7	4.7	4.7	Auto	Auto	Auto	Auto	Auto	18.045459	9.977950	87.036928	17.895890	-10.300003	93.346946	-18.055503	-9.990651	-93.422137	-17.887372	10.313760	-87.161783	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9798559704E-001	-3.7666794974E-003	3.0695367028E+003	7.9285962214E-004	-1.0002289552E+000	2.0342235656E+003	2.0696377289E-007	-1.9990516626E-006	1.0000000000E+000	-9.9726314960E-001	-6.6521914743E-003	3.0698683004E+003	2.3754238247E-003	-1.0002218306E+000	2.0272022479E+003	1.8669357532E-007	-2.7989781965E-006	1.0000000000E+000	9.9856922042E-001	-5.1908680899E-003	6.3926282909E+000	3.2234398257E-003	9.9691154056E-001	-5.6349692784E-001	1.0092869371E-007	-1.4814075446E-006	1.0000000000E+000	-2.2782898718E-002	-4.8020773687E+000	9.0000697704E+003	4.7968347456E+000	-3.5439608751E-002	-1.7915717597E+002	2.6184440105E-007	-1.7379722653E-006	1.0000000000E+000	4	144	288	281	23	40	0.07310	288	283	15	36	0.07240	288	241	10	24	0.13604	288	288	84	35	0.26643	1.48
3322a_320_01~0018	"04/15/13 16:13:56"	D:/CGA/Users/Dugal/MSc	10017	16.0	11.3	7.7	8.7	7.8	3.4	6.9	4.7	4.7	4.7	Auto	Auto	Auto	Auto	Auto	18.045785	9.978296	87.036755	17.896432	-10.300273	93.346332	-18.055655	-9.990924	-93.420638	-17.888079	10.313938	-87.159236	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9794692402E-001	-3.7437880661E-003	3.0693669402E+003	7.8502338900E-004	-1.0001407564E+000	2.0341262722E+003	1.7585369793E-007	-2.0138449571E-006	1.0000000000E+000	-9.9727201646E-001	-6.6123096365E-003	3.0698062280E+003	2.4844186065E-003	-1.0002793275E+000	2.0270583312E+003	1.6753027100E-007	-2.7904813665E-006	1.0000000000E+000	9.9849728291E-001	-5.1351174034E-003	6.4766662568E+000	3.2248647774E-003	9.9702680928E-001	-5.9315094800E-001	7.9481612154E-008	-1.4209954669E-006	1.0000000000E+000	-2.2929688766E-002	-4.8021960174E+000	9.0001997143E+003	4.7964944456E+000	-3.5457541524E-002	-1.7888653831E+002	2.3088085092E-007	-1.7285856171E-006	1.0000000000E+000	4	144	288	282	9	43	0.07287	288	283	7	35	0.07190	288	241	9	31	0.12594	288	290	74	48	0.23230	0.81
3322a_320_01~0019	"04/15/13 16:14:59"	D:/CGA/Users/Dugal/MSc	10018	16.0	11.3	7.7	8.7	7.8	3.4	6.8	4.6	4.6	4.6	Auto	Auto	Auto	Auto	Auto	18.045708	9.978112	87.037020	17.896312	-10.300212	93.346947	-18.055733	-9.990734	-93.421868	-17.887804	10.313889	-87.160979	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9783582330E-001	-3.8261767962E-003	3.0693168062E+003	8.5994134904E-004	-1.0003143000E+000	2.0341993338E+003	2.5373243912E-007	-2.0994063119E-006	1.0000000000E+000	-9.9718276614E-001	-6.6501368943E-003	3.0697709205E+003	2.4868713299E-003	-1.0002936941E+000	2.0270928952E+003	2.3495097515E-007	-2.8459272923E-006	1.0000000000E+000	9.9856784298E-001	-5.2854602723E-003	6.4110434203E+000	3.2127413318E-003	9.9675674747E-001	-4.1221320506E-001	1.0260476006E-007	-1.5270094552E-006	1.0000000000E+000	-2.2898799506E-002	-4.8017607263E+000	8.9993368592E+003	4.7954599095E+000	-3.6416125838E-002	-1.7732129817E+002	2.0442957361E-007	-1.8257469179E-006	1.0000000000E+000	4	144	288	276	11	35	0.07166	288	277	11	29	0.06872	288	226	10	30	0.11957	288	232	42	32	0.23843	1.79
3322a_320_01~0020	"04/15/13 16:16:01"	D:/CGA/Users/Dugal/MSc	10019	16.0	11.3	7.7	8.7	7.8	3.3	6.7	4.6	4.6	4.6	Auto	Auto	Auto	Auto	Auto	18.045798	9.978283	87.036948	17.896756	-10.300443	93.347008	-18.055872	-9.990807	-93.421764	-17.888189	10.314028	-87.159836	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9788093855E-001	-3.8337506120E-003	3.0693334643E+003	8.6715274834E-004	-1.0002837276E+000	2.0341380300E+003	2.1139154063E-007	-2.0544252070E-006	1.0000000000E+000	-9.9720757791E-001	-6.7139717296E-003	3.0697929890E+003	2.5183480221E-003	-1.0003751310E+000	2.0271017470E+003	1.9350629911E-007	-2.8243611457E-006	1.0000000000E+000	9.9877390195E-001	-5.1568050063E-003	6.3491043147E+000	3.2898627356E-003	9.9707412688E-001	-5.5977097022E-001	1.4161636986E-007	-1.3745349649E-006	1.0000000000E+000	-2.2749312743E-002	-4.8023527799E+000	8.9999894933E+003	4.7963938016E+000	-3.5944589098E-002	-1.7836483704E+002	2.4976995138E-007	-1.7905419363E-006	1.0000000000E+000	4	144	288	283	8	35	0.06280	288	283	18	31	0.05781	288	251	10	29	0.13129	288	285	75	28	0.21191	1.23
