Image	StartTime	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	GraduatePan	GraduateNIR	GraduateRGB	
3321b_3172_14~0490	"04/16/13 16:39:19"	60017	16.0	8.0	7.7	8.7	7.8	5.3	5.3	7.3	7.3	7.3	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0491	"04/16/13 16:40:18"	60018	16.0	8.0	7.7	8.7	7.8	5.3	5.3	7.3	7.3	7.3	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0492	"04/16/13 16:41:16"	60019	16.0	8.0	7.7	8.7	7.8	5.3	5.3	7.2	7.2	7.2	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0493	"04/16/13 16:42:13"	60020	16.0	8.0	7.7	8.7	7.8	5.2	5.2	7.2	7.2	7.2	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0494	"04/16/13 16:43:11"	60021	16.0	8.0	7.7	8.7	7.8	5.1	5.1	7.1	7.1	7.1	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0495	"04/16/13 16:44:09"	60022	16.0	8.0	7.7	8.7	7.8	5.1	5.1	7.0	7.0	7.0	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0496	"04/16/13 16:46:55"	60023	16.0	8.0	7.7	8.7	7.8	5.0	5.0	6.8	6.8	6.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0497	"04/16/13 16:45:56"	60024	16.0	8.0	7.7	8.7	7.8	4.8	4.8	6.5	6.5	6.5	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0496	"04/16/13 16:46:55"	60023	16.0	8.0	7.7	8.7	7.8	5.0	5.0	6.8	6.8	6.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0498	"04/16/13 16:47:46"	60025	16.0	8.0	7.7	8.7	7.8	4.7	4.7	6.3	6.3	6.3	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0499	"04/16/13 16:48:41"	60026	16.0	8.0	7.7	8.7	7.8	4.6	4.6	6.2	6.2	6.2	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0500	"04/16/13 16:49:36"	60027	16.0	8.0	7.7	8.7	7.8	4.4	4.4	5.9	5.9	5.9	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0501	"04/16/13 16:50:33"	60028	16.0	8.0	7.7	8.7	7.8	4.4	4.4	5.9	5.9	5.9	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0502	"04/16/13 16:51:32"	60029	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0503	"04/16/13 16:52:29"	60030	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0504	"04/16/13 16:53:27"	60031	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0505	"04/16/13 16:54:28"	60032	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0506	"04/16/13 16:55:20"	60033	16.0	8.0	7.7	8.7	7.8	4.4	4.4	5.9	5.9	5.9	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0507	"04/16/13 16:56:18"	60034	16.0	8.0	7.7	8.7	7.8	4.4	4.4	5.9	5.9	5.9	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0508	"04/16/13 16:57:22"	60035	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0509	"04/16/13 16:58:23"	60036	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0510	"04/16/13 16:59:25"	60037	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0511	"04/16/13 17:02:05"	60038	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0512	"04/16/13 17:01:00"	60039	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0511	"04/16/13 17:02:05"	60038	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0513	"04/16/13 17:02:53"	60040	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0514	"04/16/13 17:03:54"	60041	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0515	"04/16/13 17:04:54"	60042	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0516	"04/16/13 17:05:57"	60043	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_14~0517	"04/16/13 17:07:01"	60044	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
