Image	StartTime	PMIMage	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	Pan1Omega	Pan1Phi	Pan1Kappa	Pan2Omega	Pan2Phi	Pan2Kappa	Pan3Omega	Pan3Phi	Pan3Kappa	Pan4Omega	Pan4Phi	Pan4Kappa	PANplatformcalib	MSplatformcalib	GraduatePan	GraduateNIR	GraduateRGB	GNtags	GBtags	GRtags	GVtags	GR00	GR01	GR02	GR10	GR11	GR12	GR20	GR21	GR22	GB00	GB01	GB02	GB10	GB11	GB12	GB20	GB21	GB22	GN00	GN01	GN02	GN10	GN11	GN12	GN20	GN21	GN22	GV00	GV01	GV02	GV10	GV11	GV12	GV20	GV21	GV22	TDI	MaxTDI	GBMatching	GBmatched	GBNumInv	GBOut	GBRMS	GRMatching	GRmatched	GRNumInv	GROut	GRRMS	GNMatching	GNmatched	GNNumInv	GNOut	GNRMS	GVMatching	GVmatched	GVNumInv	GVOut	GVRMS	GVDist	
3321b_3172_01~0011	"04/20/13 10:43:42"	D:/CGA/Users/Dugal/MSc	70010	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045307	9.979131	87.036899	17.896014	-10.298971	93.346059	-18.055127	-9.991683	-93.421050	-17.887702	10.312556	-87.160957	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9797937719E-001	-3.7501638193E-003	3.0698139355E+003	9.2843178683E-004	-1.0003909539E+000	2.0344341125E+003	3.2359178163E-007	-1.9885570946E-006	1.0000000000E+000	-9.9722002712E-001	-6.7946973859E-003	3.0695889298E+003	2.5170761907E-003	-1.0002786378E+000	2.0270488357E+003	2.1371915850E-007	-2.8418553364E-006	1.0000000000E+000	9.9872209289E-001	-5.2207540307E-003	6.8342307181E+000	3.2551394692E-003	9.9704915389E-001	-6.1207764458E-001	1.3889053744E-007	-1.4581936201E-006	1.0000000000E+000	-2.2540081118E-002	-4.8037789211E+000	9.0019721912E+003	4.7989596759E+000	-3.5065979980E-002	-1.8032224495E+002	3.4638180637E-007	-1.7260537871E-006	1.0000000000E+000	1	144	288	283	68	33	0.09065	288	283	58	30	0.08741	288	251	10	32	0.12860	288	264	125	23	0.34157	3.36
3321b_3172_01~0012	"04/20/13 10:44:44"	D:/CGA/Users/Dugal/MSc	70011	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	18.045215	9.979170	87.036905	17.895854	-10.298885	93.346648	-18.055156	-9.991738	-93.421361	-17.887424	10.312498	-87.160780	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9794453919E-001	-3.7907891191E-003	3.0695768674E+003	8.3750037060E-004	-1.0003026958E+000	2.0343291421E+003	2.6141508914E-007	-2.0107443074E-006	1.0000000000E+000	-9.9720767265E-001	-6.7511705786E-003	3.0696288113E+003	2.5168367734E-003	-1.0003109585E+000	2.0271074491E+003	2.4104908680E-007	-2.8170642603E-006	1.0000000000E+000	9.9886760580E-001	-5.1835102246E-003	6.7789131805E+000	3.1925062506E-003	9.9731961252E-001	-6.6124804647E-001	1.6487512194E-007	-1.4122507991E-006	1.0000000000E+000	-2.2882598282E-002	-4.8023618352E+000	8.9999619559E+003	4.7962602421E+000	-3.5993377443E-002	-1.7707853792E+002	2.1451092555E-007	-1.7726708096E-006	1.0000000000E+000	4	144	288	273	43	36	0.08380	288	274	34	39	0.07313	288	237	10	27	0.13902	288	198	62	20	0.30091	3.82
3321b_3172_01~0013	"04/20/13 10:45:43"	D:/CGA/Users/Dugal/MSc	70012	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045246	9.979281	87.036863	17.896057	-10.298881	93.346864	-18.055308	-9.991826	-93.420974	-17.887503	10.312486	-87.160140	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9804198450E-001	-3.6134330681E-003	3.0695504113E+003	7.4334743338E-004	-1.0000631850E+000	2.0342356396E+003	1.6415034542E-007	-1.8984229362E-006	1.0000000000E+000	-9.9734301730E-001	-6.5579553688E-003	3.0697152468E+003	2.4393641844E-003	-1.0002291776E+000	2.0271994615E+003	1.8921458985E-007	-2.7051073352E-006	1.0000000000E+000	9.9859695417E-001	-5.3033691505E-003	6.9341637190E+000	3.1928890961E-003	9.9686983630E-001	-5.5406366170E-001	1.3959789873E-007	-1.5840251251E-006	1.0000000000E+000	-2.2676822683E-002	-4.8030320651E+000	9.0010152854E+003	4.7974500652E+000	-3.4489930721E-002	-1.7938703022E+002	2.5562613541E-007	-1.6771977691E-006	1.0000000000E+000	4	144	288	282	42	24	0.08528	288	282	38	24	0.07894	288	236	5	30	0.13101	288	276	69	39	0.30098	2.54
3321b_3172_01~0014	"04/20/13 10:46:42"	D:/CGA/Users/Dugal/MSc	70013	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045197	9.978914	87.036990	17.895587	-10.299042	93.345998	-18.055266	-9.991303	-93.422872	-17.887009	10.312493	-87.162297	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9778169458E-001	-4.1567565056E-003	3.0692565576E+003	7.5637155217E-004	-1.0002104008E+000	2.0342038910E+003	1.9411593771E-007	-2.1968302946E-006	1.0000000000E+000	-9.9717611154E-001	-6.9589638963E-003	3.0695037893E+003	2.4228865854E-003	-1.0003009809E+000	2.0271485483E+003	2.0295662138E-007	-2.9382780157E-006	1.0000000000E+000	9.9859695417E-001	-5.3033691505E-003	6.9341637190E+000	3.1928890961E-003	9.9686983630E-001	-5.5406366170E-001	1.3959789873E-007	-1.5840251251E-006	1.0000000000E+000	-2.2796797880E-002	-4.8029365952E+000	9.0009966573E+003	4.7970908205E+000	-3.7160176274E-002	-1.7700992079E+002	2.9519787395E-007	-1.8679141884E-006	1.0000000000E+000	4	144	288	286	33	37	0.08248	288	286	21	45	0.07737	288	235	4	33	0.13027	288	329	113	39	0.26899	3.21
3321b_3172_01~0015	"04/20/13 10:47:42"	D:/CGA/Users/Dugal/MSc	70014	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045317	9.978749	87.037020	17.895824	-10.299119	93.345851	-18.055315	-9.991231	-93.423263	-17.887327	10.312653	-87.161040	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9782057691E-001	-3.9304601109E-003	3.0694644514E+003	8.9793197990E-004	-1.0002638188E+000	2.0342306213E+003	2.5434030230E-007	-2.0678306128E-006	1.0000000000E+000	-9.9716415669E-001	-6.8372482810E-003	3.0695504989E+003	2.5678023584E-003	-1.0003177482E+000	2.0270502799E+003	2.0167764640E-007	-2.8399710763E-006	1.0000000000E+000	9.9867380110E-001	-5.1552719463E-003	6.9037532633E+000	3.2154254333E-003	9.9712301483E-001	-5.6709073794E-001	1.0337790824E-007	-1.3701147812E-006	1.0000000000E+000	-2.2768465524E-002	-4.8025788844E+000	9.0002922995E+003	4.7967522486E+000	-3.4960940618E-002	-1.7829514373E+002	2.1613525016E-007	-1.6895449554E-006	1.0000000000E+000	1	143	288	282	56	38	0.07060	288	283	33	32	0.07162	288	245	5	36	0.13208	288	250	84	28	0.25411	3.34
3321b_3172_01~0016	"04/20/13 10:48:41"	D:/CGA/Users/Dugal/MSc	70015	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045266	9.978871	87.036990	17.895530	-10.298918	93.346026	-18.055262	-9.991177	-93.422869	-17.887014	10.312277	-87.162677	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9784993145E-001	-3.7789259537E-003	3.0692511069E+003	7.9983906252E-004	-1.0001732103E+000	2.0341797568E+003	2.0511550672E-007	-2.0528159282E-006	1.0000000000E+000	-9.9714025900E-001	-6.6992623953E-003	3.0693329768E+003	2.4509175283E-003	-1.0002191131E+000	2.0270571524E+003	1.8790628263E-007	-2.8323945975E-006	1.0000000000E+000	9.9883883486E-001	-5.1630633997E-003	6.7668441000E+000	3.1811139977E-003	9.9716571497E-001	-5.3705525091E-001	1.4277370201E-007	-1.4226266548E-006	1.0000000000E+000	-2.2859995218E-002	-4.8024356782E+000	9.0002342168E+003	4.7965822218E+000	-3.5551172348E-002	-1.7767125021E+002	2.2109462890E-007	-1.7248406592E-006	1.0000000000E+000	1	144	288	282	77	25	0.07908	288	282	71	25	0.07142	288	278	12	33	0.11120	288	260	85	28	0.29370	0.63
3321b_3172_01~0017	"04/20/13 10:49:42"	D:/CGA/Users/Dugal/MSc	70016	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045404	9.979260	87.036840	17.896099	-10.299003	93.346482	-18.055283	-9.991867	-93.420914	-17.887734	10.312649	-87.160301	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9792851302E-001	-3.8635653128E-003	3.0696844687E+003	9.7023256297E-004	-1.0003362538E+000	2.0342758851E+003	3.0875355811E-007	-2.0308041144E-006	1.0000000000E+000	-9.9718982772E-001	-6.7516079106E-003	3.0695591065E+003	2.5519790648E-003	-1.0002813653E+000	2.0270517866E+003	2.3662472796E-007	-2.8332116784E-006	1.0000000000E+000	9.9858980397E-001	-5.2524978064E-003	6.9305191669E+000	3.1892189404E-003	9.9710809576E-001	-6.3337789229E-001	1.0914072503E-007	-1.5261729950E-006	1.0000000000E+000	-2.2400755689E-002	-4.8037273322E+000	9.0011716979E+003	4.7978440982E+000	-3.5378914759E-002	-1.7907717389E+002	2.9852958541E-007	-1.7426128035E-006	1.0000000000E+000	1	143	288	279	76	21	0.07664	288	280	56	25	0.07282	288	275	10	40	0.12379	288	235	60	29	0.29668	2.04
3321b_3172_01~0018	"04/20/13 10:50:38"	D:/CGA/Users/Dugal/MSc	70017	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045388	9.979314	87.036825	17.896369	-10.298811	93.346811	-18.055318	-9.991887	-93.420354	-17.887950	10.312429	-87.159279	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9779923981E-001	-3.9769595052E-003	3.0692616086E+003	8.2366083363E-004	-1.0002029159E+000	2.0341423902E+003	2.0059883627E-007	-2.1152750308E-006	1.0000000000E+000	-9.9715918283E-001	-6.8336884595E-003	3.0695239835E+003	2.4821631519E-003	-1.0002983471E+000	2.0271330158E+003	2.1177302559E-007	-2.8463507484E-006	1.0000000000E+000	9.9860770396E-001	-5.2256311900E-003	6.9118754468E+000	3.1160098319E-003	9.9713272840E-001	-5.6075307883E-001	1.0831279353E-007	-1.4860465726E-006	1.0000000000E+000	-2.2666280066E-002	-4.8028279594E+000	9.0002243322E+003	4.7962765074E+000	-3.5573089999E-002	-1.7771338341E+002	2.0319184502E-007	-1.7509418911E-006	1.0000000000E+000	3	144	288	281	63	25	0.07718	288	281	52	33	0.07339	288	272	14	33	0.12326	288	259	65	22	0.29691	1.66
3321b_3172_01~0019	"04/20/13 10:51:38"	D:/CGA/Users/Dugal/MSc	70018	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045204	9.979212	87.036893	17.896023	-10.298703	93.346871	-18.054961	-9.991994	-93.420156	-17.887800	10.312508	-87.160301	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9784116546E-001	-3.8850753976E-003	3.0694976445E+003	9.4427090884E-004	-1.0003041684E+000	2.0342492842E+003	2.9263100750E-007	-2.0681784588E-006	1.0000000000E+000	-9.9716098497E-001	-6.8162498344E-003	3.0694344767E+003	2.4745074471E-003	-1.0002503232E+000	2.0270353663E+003	1.8079878372E-007	-2.8606452316E-006	1.0000000000E+000	9.9854774153E-001	-5.2951049390E-003	7.0410832099E+000	3.0968121269E-003	9.9704565605E-001	-5.2969113891E-001	1.0723297575E-007	-1.5197751869E-006	1.0000000000E+000	-2.2594153892E-002	-4.8031051815E+000	9.0004189691E+003	4.7964444327E+000	-3.6495486607E-002	-1.7692828455E+002	2.6378678918E-007	-1.8622728210E-006	1.0000000000E+000	1	144	288	285	48	38	0.07318	288	285	38	38	0.07196	288	266	11	27	0.14684	288	276	80	32	0.34813	1.88
3321b_3172_01~0020	"04/20/13 10:52:36"	D:/CGA/Users/Dugal/MSc	70019	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045280	9.979128	87.036905	17.895974	-10.298999	93.346403	-18.055529	-9.991488	-93.422534	-17.887213	10.312440	-87.162264	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9793900958E-001	-3.7816686665E-003	3.0695833810E+003	8.4845801023E-004	-1.0002671895E+000	2.0343003517E+003	2.5700857528E-007	-1.9935184779E-006	1.0000000000E+000	-9.9720092059E-001	-6.7591352346E-003	3.0696128142E+003	2.5240410984E-003	-1.0002595938E+000	2.0270580886E+003	2.3693750613E-007	-2.8186784884E-006	1.0000000000E+000	9.9860744818E-001	-5.2350094652E-003	6.9471914415E+000	3.2904581654E-003	9.9697851110E-001	-7.5606854476E-001	1.0401189525E-007	-1.4895023686E-006	1.0000000000E+000	-2.2824030587E-002	-4.8026517850E+000	9.0009733675E+003	4.7973909562E+000	-3.4959193643E-002	-1.7881655155E+002	2.6018664537E-007	-1.6639841431E-006	1.0000000000E+000	1	144	288	274	45	29	0.07192	288	275	46	29	0.06958	288	248	9	29	0.13324	288	232	70	34	0.27265	2.28
