Image	StartTime	PMIMage	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	Pan1Omega	Pan1Phi	Pan1Kappa	Pan2Omega	Pan2Phi	Pan2Kappa	Pan3Omega	Pan3Phi	Pan3Kappa	Pan4Omega	Pan4Phi	Pan4Kappa	PANplatformcalib	MSplatformcalib	GraduatePan	GraduateNIR	GraduateRGB	GNtags	GBtags	GRtags	GVtags	GR00	GR01	GR02	GR10	GR11	GR12	GR20	GR21	GR22	GB00	GB01	GB02	GB10	GB11	GB12	GB20	GB21	GB22	GN00	GN01	GN02	GN10	GN11	GN12	GN20	GN21	GN22	GV00	GV01	GV02	GV10	GV11	GV12	GV20	GV21	GV22	TDI	MaxTDI	GBMatching	GBmatched	GBNumInv	GBOut	GBRMS	GRMatching	GRmatched	GRNumInv	GROut	GRRMS	GNMatching	GNmatched	GNNumInv	GNOut	GNRMS	GVMatching	GVmatched	GVNumInv	GVOut	GVRMS	GVDist	
3321d_319_14~0485	"04/11/13 09:50:20"	D:/CGA/Users/Dugal/MSc	10007	16.0	8.0	7.7	8.7	7.8	5.5	5.5	7.4	7.4	7.4	Auto	Auto	Auto	Auto	Auto	18.045541	9.977793	87.036154	17.896086	-10.300679	93.345015	-18.054912	-9.990356	-93.421522	-17.888222	10.314225	-87.160188	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9788522804E-001	-3.8826233986E-003	3.0690780082E+003	8.5043253745E-004	-1.0002352210E+000	2.0341291404E+003	2.3115983546E-007	-2.1166295787E-006	1.0000000000E+000	-9.9721276817E-001	-6.7594955324E-003	3.0694689561E+003	2.5295745423E-003	-1.0003150023E+000	2.0269820826E+003	2.2637191138E-007	-2.8826674790E-006	1.0000000000E+000	9.9870266619E-001	-4.8683052580E-003	6.1925473629E+000	2.9876074456E-003	9.9733690119E-001	6.3087176589E-002	3.0402124732E-008	-1.2060588262E-006	1.0000000000E+000	-2.2899550963E-002	-4.8020582008E+000	8.9995969804E+003	4.7961032974E+000	-3.5755500438E-002	-1.7724044781E+002	1.9225703011E-007	-1.7150404903E-006	1.0000000000E+000	4	144	288	281	9	28	0.08322	288	282	19	27	0.07805	288	201	6	27	0.20382	288	271	73	36	0.28779	1.83
3321d_319_14~0487	"04/11/13 09:51:04"	D:/CGA/Users/Dugal/MSc	10009	11.3	8.0	5.4	6.2	5.5	3.3	6.6	4.4	4.4	4.4	Auto	Auto	Auto	Auto	Auto	18.045387	9.977714	87.036209	17.895931	-10.300752	93.345026	-18.055025	-9.989955	-93.422244	-17.887763	10.314007	-87.161209	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9792840069E-001	-3.8753699734E-003	3.0691409724E+003	8.2045264350E-004	-1.0002028454E+000	2.0341195374E+003	1.9850381571E-007	-2.0764445748E-006	1.0000000000E+000	-9.9712362569E-001	-6.8554765661E-003	3.0693737204E+003	2.4317769359E-003	-1.0001957275E+000	2.0269877221E+003	1.9395204865E-007	-2.8939285583E-006	1.0000000000E+000	9.9885261898E-001	-5.2309621206E-003	6.5815881006E+000	3.0541098786E-003	9.9756650131E-001	-2.8269706751E-001	9.9250217711E-008	-1.3198709639E-006	1.0000000000E+000	-2.2487181986E-002	-4.8027937828E+000	8.9991575826E+003	4.7964697917E+000	-3.7501147332E-002	-1.7580949430E+002	2.9217241924E-007	-1.9275186411E-006	1.0000000000E+000	4	144	288	285	23	33	0.08068	288	285	10	29	0.08155	480	247	6	34	0.21378	288	268	139	22	0.32595	3.24
3321d_319_14~0488	"04/11/13 09:53:54"	D:/CGA/Users/Dugal/MSc	10010	11.3	8.0	5.4	6.2	5.5	3.5	7.0	4.6	4.6	4.6	Auto	Auto	Auto	Auto	Auto	18.045066	9.977488	87.036151	17.895610	-10.300703	93.344623	-18.054691	-9.989655	-93.422384	-17.887448	10.313884	-87.161529	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9781977896E-001	-4.1789116467E-003	3.0691359059E+003	7.9674591285E-004	-1.0002124295E+000	2.0341597025E+003	2.4111384721E-007	-2.2241238412E-006	1.0000000000E+000	-9.9720906352E-001	-6.7707628969E-003	3.0694955686E+003	2.4924534094E-003	-1.0002290601E+000	2.0269804958E+003	2.1633774527E-007	-2.8624567688E-006	1.0000000000E+000	9.9878874825E-001	-5.2384319109E-003	6.5518533633E+000	3.1301513039E-003	9.9734238359E-001	-4.0732223812E-001	7.7835630356E-008	-1.3786087393E-006	1.0000000000E+000	-2.3209684156E-002	-4.8021340262E+000	9.0001449882E+003	4.7961954106E+000	-3.6945556880E-002	-1.7575924686E+002	2.5050080142E-007	-1.8427565073E-006	1.0000000000E+000	4	144	288	272	34	31	0.08130	288	275	17	34	0.08026	288	173	6	24	0.18622	288	255	146	14	0.31224	2.08
3321d_319_14~0489	"04/11/13 09:52:51"	D:/CGA/Users/Dugal/MSc	10011	11.3	8.0	5.4	6.2	5.5	3.4	6.8	4.5	4.5	4.5	Auto	Auto	Auto	Auto	Auto	18.045412	9.977551	87.035745	17.896180	-10.301188	93.344187	-18.055227	-9.989646	-93.422941	-17.887821	10.314318	-87.161220	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9804463400E-001	-3.7052607042E-003	3.0693690796E+003	8.4056409137E-004	-1.0002120599E+000	2.0341821799E+003	2.2755526605E-007	-1.9718581100E-006	1.0000000000E+000	-9.9730664586E-001	-6.4744814227E-003	3.0694993288E+003	2.4070117040E-003	-1.0001094775E+000	2.0269277166E+003	1.5563362352E-007	-2.7131753371E-006	1.0000000000E+000	9.9896899377E-001	-5.0546156563E-003	6.3110323556E+000	3.2059772806E-003	9.9719479652E-001	-4.4026562246E-001	1.1777154920E-007	-1.3928937662E-006	1.0000000000E+000	-2.3237348359E-002	-4.8013729355E+000	8.9993599979E+003	4.7960169710E+000	-3.5506041943E-002	-1.7698249901E+002	1.8115332661E-007	-1.6986719757E-006	1.0000000000E+000	4	144	288	280	61	21	0.07890	288	281	32	22	0.07352	288	148	3	23	0.14577	288	275	132	21	0.29766	4.65
3321d_319_14~0488	"04/11/13 09:53:54"	D:/CGA/Users/Dugal/MSc	10010	11.3	8.0	5.4	6.2	5.5	3.5	7.0	4.6	4.6	4.6	Auto	Auto	Auto	Auto	Auto	18.045066	9.977488	87.036151	17.895610	-10.300703	93.344623	-18.054691	-9.989655	-93.422384	-17.887448	10.313884	-87.161529	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9781977896E-001	-4.1789116467E-003	3.0691359059E+003	7.9674591285E-004	-1.0002124295E+000	2.0341597025E+003	2.4111384721E-007	-2.2241238412E-006	1.0000000000E+000	-9.9720906352E-001	-6.7707628969E-003	3.0694955686E+003	2.4924534094E-003	-1.0002290601E+000	2.0269804958E+003	2.1633774527E-007	-2.8624567688E-006	1.0000000000E+000	9.9878874825E-001	-5.2384319109E-003	6.5518533633E+000	3.1301513039E-003	9.9734238359E-001	-4.0732223812E-001	7.7835630356E-008	-1.3786087393E-006	1.0000000000E+000	-2.3209684156E-002	-4.8021340262E+000	9.0001449882E+003	4.7961954106E+000	-3.6945556880E-002	-1.7575924686E+002	2.5050080142E-007	-1.8427565073E-006	1.0000000000E+000	4	144	288	272	34	31	0.08130	288	275	17	34	0.08026	288	173	6	24	0.18622	288	255	146	14	0.31224	2.08
3321d_319_14~0490	"04/11/13 09:54:39"	D:/CGA/Users/Dugal/MSc	10012	16.0	8.0	5.4	6.2	5.5	6.2	6.2	4.2	4.2	4.2	Auto	Auto	Auto	Auto	Auto	18.045408	9.977638	87.035718	17.895616	-10.301718	93.342036	-18.054986	-9.989338	-93.423701	-17.887446	10.314428	-87.162418	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9797246161E-001	-3.8111071452E-003	3.0692855169E+003	9.1770690351E-004	-1.0002927747E+000	2.0341306857E+003	2.4929039616E-007	-2.0938920359E-006	1.0000000000E+000	-9.9725647513E-001	-6.7092772052E-003	3.0695334743E+003	2.4676259679E-003	-1.0001922056E+000	2.0269038378E+003	1.9224320530E-007	-2.8657109862E-006	1.0000000000E+000	9.9922609300E-001	-5.1318747385E-003	6.2754472719E+000	3.3011738005E-003	9.9741986213E-001	-6.7422334749E-001	2.1602208486E-007	-1.4112388122E-006	1.0000000000E+000	-2.3001719407E-002	-4.8022394357E+000	9.0001695070E+003	4.7970498795E+000	-3.5596307812E-002	-1.7794115536E+002	2.5733133806E-007	-1.7545111167E-006	1.0000000000E+000	4	144	288	278	39	36	0.08429	288	278	21	41	0.08043	288	171	7	29	0.12286	288	247	29	35	0.29205	2.18
3321d_319_14~0491	"04/11/13 09:55:35"	D:/CGA/Users/Dugal/MSc	10013	16.0	8.0	7.7	8.7	7.8	5.5	5.5	7.4	7.4	7.4	Auto	Auto	Auto	Auto	Auto	18.045687	9.977887	87.035905	17.896436	-10.301237	93.344772	-18.055215	-9.990073	-93.422188	-17.888372	10.314425	-87.159570	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9797951818E-001	-3.7511975593E-003	3.0692600550E+003	8.4890071984E-004	-1.0001917960E+000	2.0341311582E+003	2.1649150555E-007	-2.0245883311E-006	1.0000000000E+000	-9.9727746101E-001	-6.6176762351E-003	3.0695810378E+003	2.5510814476E-003	-1.0002604790E+000	2.0269316490E+003	2.0738378183E-007	-2.7861103072E-006	1.0000000000E+000	9.9911552414E-001	-5.2519277743E-003	6.4118256175E+000	3.3946628858E-003	9.9712790858E-001	-6.4368136597E-001	2.4048048658E-007	-1.4970710512E-006	1.0000000000E+000	-2.2725260664E-002	-4.8018597394E+000	8.9991741018E+003	4.7964464389E+000	-3.7361423528E-002	-1.7624559628E+002	2.7265286595E-007	-1.9149528431E-006	1.0000000000E+000	5	144	288	279	17	32	0.08848	288	279	14	27	0.08358	288	203	11	30	0.11311	288	258	124	22	0.33863	2.07
3321d_319_14~0492	"04/11/13 09:56:32"	D:/CGA/Users/Dugal/MSc	10014	16.0	8.0	7.7	8.7	7.8	4.9	4.9	6.7	6.7	6.7	Auto	Auto	Auto	Auto	Auto	18.045473	9.977740	87.036184	17.896379	-10.301391	93.344795	-18.055459	-9.989741	-93.423935	-17.887837	10.314446	-87.162144	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9794913369E-001	-3.8363709170E-003	3.0692102558E+003	8.5473349941E-004	-1.0002169494E+000	2.0340718963E+003	2.0540124700E-007	-2.0652449723E-006	1.0000000000E+000	-9.9724043499E-001	-6.7327362756E-003	3.0694218274E+003	2.4541256986E-003	-1.0001913631E+000	2.0268570984E+003	1.5149866233E-007	-2.8506658738E-006	1.0000000000E+000	9.9920022631E-001	-5.0318324275E-003	6.1440071340E+000	3.3403595750E-003	9.9742096021E-001	-6.1036106337E-001	2.3463137365E-007	-1.3813198138E-006	1.0000000000E+000	-2.3145458956E-002	-4.8021548353E+000	9.0002689311E+003	4.7965178638E+000	-3.5746479764E-002	-1.7716030282E+002	2.6530446270E-007	-1.7968774685E-006	1.0000000000E+000	4	144	288	271	11	33	0.08153	288	273	11	29	0.07559	288	231	175	8	0.06085	288	243	79	26	0.30495	2.56
3321d_319_14~0493	"04/11/13 09:57:27"	D:/CGA/Users/Dugal/MSc	10015	16.0	8.0	7.7	8.7	7.8	4.4	4.4	6.1	6.1	6.1	Auto	Auto	Auto	Auto	Auto	18.045468	9.977757	87.035988	17.896488	-10.301614	93.343899	-18.055319	-9.989673	-93.423550	-17.888072	10.314570	-87.161410	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9789190304E-001	-3.8456318793E-003	3.0691107153E+003	8.0469129029E-004	-1.0002581692E+000	2.0342034907E+003	2.0868044983E-007	-2.0826522146E-006	1.0000000000E+000	-9.9717229689E-001	-6.7338050933E-003	3.0693429612E+003	2.4674770949E-003	-1.0002948414E+000	2.0269934562E+003	1.7570118551E-007	-2.8647507127E-006	1.0000000000E+000	9.9901350903E-001	-5.2429475710E-003	6.4346192783E+000	3.3081496638E-003	9.9727936734E-001	-5.9527890086E-001	2.3514901626E-007	-1.5071043808E-006	1.0000000000E+000	-2.2932002953E-002	-4.8022294670E+000	8.9999538158E+003	4.7966904277E+000	-3.5884099945E-002	-1.7737176320E+002	2.5043388545E-007	-1.7484662713E-006	1.0000000000E+000	4	144	288	269	16	30	0.07739	288	272	22	22	0.07327	288	244	175	11	0.08125	288	230	54	29	0.28915	1.23
3321d_319_14~0494	"04/11/13 09:58:22"	D:/CGA/Users/Dugal/MSc	10016	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.045625	9.977905	87.035911	17.895889	-10.300510	93.345092	-18.054929	-9.990568	-93.420374	-17.888103	10.314147	-87.160506	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9791448921E-001	-3.7640784894E-003	3.0691448465E+003	8.8762378264E-004	-1.0002194947E+000	2.0340691081E+003	2.2783750929E-007	-2.0455171966E-006	1.0000000000E+000	-9.9724485038E-001	-6.6175474731E-003	3.0694873139E+003	2.5318710648E-003	-1.0002665574E+000	2.0269335745E+003	2.0900200311E-007	-2.8084856340E-006	1.0000000000E+000	9.9901283544E-001	-5.0784614283E-003	6.2885167644E+000	3.2210231821E-003	9.9741998336E-001	-4.6875333635E-001	1.5456758151E-007	-1.3243219466E-006	1.0000000000E+000	-2.2559261723E-002	-4.8026309680E+000	8.9999553501E+003	4.7967986077E+000	-3.6434576801E-002	-1.7625583306E+002	2.7956883211E-007	-1.7605188953E-006	1.0000000000E+000	4	144	288	277	11	21	0.08251	288	277	14	31	0.07796	288	262	168	13	0.06216	288	231	79	29	0.31104	1.12
