Image	StartTime	PMIMage	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	Pan1Omega	Pan1Phi	Pan1Kappa	Pan2Omega	Pan2Phi	Pan2Kappa	Pan3Omega	Pan3Phi	Pan3Kappa	Pan4Omega	Pan4Phi	Pan4Kappa	PANplatformcalib	MSplatformcalib	GraduatePan	GraduateNIR	GraduateRGB	GNtags	GBtags	GRtags	GVtags	GR00	GR01	GR02	GR10	GR11	GR12	GR20	GR21	GR22	GB00	GB01	GB02	GB10	GB11	GB12	GB20	GB21	GB22	GN00	GN01	GN02	GN10	GN11	GN12	GN20	GN21	GN22	GV00	GV01	GV02	GV10	GV11	GV12	GV20	GV21	GV22	TDI	MaxTDI	GBMatching	GBmatched	GBNumInv	GBOut	GBRMS	GRMatching	GRmatched	GRNumInv	GROut	GRRMS	GNMatching	GNmatched	GNNumInv	GNOut	GNRMS	GVMatching	GVmatched	GVNumInv	GVOut	GVRMS	GVDist	
3322c_322_01~0011	"04/10/13 22:45:40"	D:/CGA/Users/Dugal/MSc	100010	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.9	5.9	5.9	Auto	Auto	Auto	Auto	Auto	18.046220	9.978649	87.036070	17.896395	-10.301348	93.343585	-18.056072	-9.990426	-93.422916	-17.887961	10.314166	-87.161751	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9794733221E-001	-3.6938237527E-003	3.0692085231E+003	6.9318797994E-004	-1.0000353870E+000	2.0341997582E+003	1.5195316228E-007	-1.9652336776E-006	1.0000000000E+000	-9.9722858985E-001	-6.6220464355E-003	3.0693993327E+003	2.3023517552E-003	-1.0000348015E+000	2.0270342166E+003	1.1319281865E-007	-2.7873854671E-006	1.0000000000E+000	9.9879245283E-001	-5.0602663144E-003	6.6940868958E+000	3.1788724763E-003	9.9725454111E-001	-4.5488600225E-001	1.1814817352E-007	-1.3571502250E-006	1.0000000000E+000	-2.2891559914E-002	-4.8022897666E+000	9.0001857486E+003	4.7962370464E+000	-3.5562638567E-002	-1.7734819601E+002	2.2248643479E-007	-1.7704248514E-006	1.0000000000E+000	5	144	288	283	20	35	0.07410	288	283	6	33	0.07558	288	277	161	11	0.05094	288	290	66	29	0.23620	1.23
3322c_322_01~0012	"04/10/13 22:46:45"	D:/CGA/Users/Dugal/MSc	100011	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	18.046116	9.978485	87.036142	17.896262	-10.300350	93.346094	-18.055817	-9.991150	-93.421198	-17.888082	10.314034	-87.162038	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9785623313E-001	-3.8510586439E-003	3.0690818993E+003	7.5016105648E-004	-1.0001994367E+000	2.0341700087E+003	1.7053170342E-007	-2.0657682339E-006	1.0000000000E+000	-9.9723159104E-001	-6.6176775960E-003	3.0695561412E+003	2.4431754975E-003	-1.0002551452E+000	2.0270890011E+003	1.8738592244E-007	-2.7748327318E-006	1.0000000000E+000	9.9875666186E-001	-5.0522283915E-003	6.6829938947E+000	3.1396932160E-003	9.9717672278E-001	-3.3848232662E-001	1.0456410408E-007	-1.3693966448E-006	1.0000000000E+000	-2.2563637335E-002	-4.8029209604E+000	9.0008402193E+003	4.7974387216E+000	-3.5520657534E-002	-1.7759710376E+002	2.9321509402E-007	-1.6995126396E-006	1.0000000000E+000	5	144	288	277	12	22	0.07858	288	278	3	27	0.06865	288	276	163	16	0.04152	288	234	20	31	0.25796	1.88
3322c_322_01~0013	"04/10/13 22:47:44"	D:/CGA/Users/Dugal/MSc	100012	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	18.046131	9.978476	87.035823	17.896314	-10.300539	93.345927	-18.055769	-9.991176	-93.421115	-17.888200	10.314251	-87.161799	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9794924863E-001	-3.9159467907E-003	3.0693607545E+003	8.1308054993E-004	-1.0002208789E+000	2.0341327543E+003	2.0558947054E-007	-2.0687149552E-006	1.0000000000E+000	-9.9730709784E-001	-6.7157774342E-003	3.0697522525E+003	2.5133231565E-003	-1.0002959290E+000	2.0270216622E+003	2.0413982337E-007	-2.7931830868E-006	1.0000000000E+000	9.9865943707E-001	-5.3079011657E-003	6.8708462564E+000	3.0803753452E-003	9.9689708439E-001	-7.3284118243E-002	9.6431156058E-008	-1.4903146803E-006	1.0000000000E+000	-2.3070134804E-002	-4.8022965974E+000	9.0004886369E+003	4.7969047044E+000	-3.5399056026E-002	-1.7828829541E+002	2.2937661564E-007	-1.7396870307E-006	1.0000000000E+000	5	144	288	279	12	27	0.08396	288	281	16	30	0.07896	288	282	201	11	0.05668	288	230	39	41	0.25952	2.16
3322c_322_01~0014	"04/10/13 22:48:44"	D:/CGA/Users/Dugal/MSc	100013	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	18.046217	9.978274	87.035871	17.896817	-10.301114	93.345875	-18.056403	-9.990673	-93.423428	-17.888123	10.314588	-87.162597	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9779765271E-001	-4.0589711163E-003	3.0691450811E+003	7.8552695956E-004	-1.0002026131E+000	2.0341628960E+003	1.8979287907E-007	-2.1455283722E-006	1.0000000000E+000	-9.9718766708E-001	-6.8038130304E-003	3.0694902772E+003	2.4004045256E-003	-1.0001801526E+000	2.0270795162E+003	1.7619269849E-007	-2.8834819546E-006	1.0000000000E+000	9.9877202744E-001	-5.1262481441E-003	6.7201350719E+000	3.1392107301E-003	9.9700217872E-001	-1.6592977179E-001	1.3050581895E-007	-1.4200639868E-006	1.0000000000E+000	-2.3061619558E-002	-4.8024676684E+000	9.0010635061E+003	4.7966683923E+000	-3.5402682057E-002	-1.7714780429E+002	2.3939746929E-007	-1.6899469092E-006	1.0000000000E+000	5	144	288	279	23	36	0.07102	288	279	10	44	0.07665	288	273	219	8	0.04410	288	251	68	27	0.21112	1.57
3322c_322_01~0015	"04/10/13 22:49:43"	D:/CGA/Users/Dugal/MSc	100014	16.0	8.0	7.7	8.7	7.8	3.9	3.9	5.5	5.5	5.5	Auto	Auto	Auto	Auto	Auto	18.046079	9.978185	87.035926	17.896189	-10.300922	93.345636	-18.056163	-9.990578	-93.424335	-17.887595	10.314378	-87.163668	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9790518006E-001	-3.8396813805E-003	3.0691324022E+003	7.2833157111E-004	-1.0001607464E+000	2.0341442339E+003	1.5949472094E-007	-2.0512121415E-006	1.0000000000E+000	-9.9725444965E-001	-6.7125181338E-003	3.0695618544E+003	2.4209035780E-003	-1.0002603088E+000	2.0270806440E+003	1.7601931061E-007	-2.8273725376E-006	1.0000000000E+000	9.9874814326E-001	-5.2599864189E-003	6.8548094177E+000	3.2608689576E-003	9.9699939863E-001	-4.7027311155E-001	1.5682442478E-007	-1.4999632148E-006	1.0000000000E+000	-2.2948638154E-002	-4.8023112708E+000	9.0002448706E+003	4.7966275693E+000	-3.5908732205E-002	-1.7677990643E+002	2.5312740639E-007	-1.7469263857E-006	1.0000000000E+000	5	144	288	283	21	36	0.06976	288	284	11	40	0.06556	288	279	217	8	0.04933	288	265	84	23	0.24547	0.92
3322c_322_01~0016	"04/10/13 22:50:41"	D:/CGA/Users/Dugal/MSc	100015	16.0	11.3	7.7	8.7	7.8	3.6	7.3	5.2	5.2	5.2	Auto	Auto	Auto	Auto	Auto	18.045893	9.978317	87.035919	17.896231	-10.300421	93.346221	-18.055887	-9.991082	-93.422118	-17.887771	10.314237	-87.162883	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9794150384E-001	-3.8265664072E-003	3.0691863902E+003	7.0863602477E-004	-1.0001282307E+000	2.0341885391E+003	1.5757158347E-007	-2.0427714298E-006	1.0000000000E+000	-9.9723796730E-001	-6.7173499974E-003	3.0694468144E+003	2.3699159039E-003	-1.0001576423E+000	2.0270503448E+003	1.4658556899E-007	-2.8396924074E-006	1.0000000000E+000	9.9890061029E-001	-5.1322957724E-003	6.6359587333E+000	3.2179894486E-003	9.9724773780E-001	-3.2273018555E-001	1.5018670169E-007	-1.3599434244E-006	1.0000000000E+000	-2.3124051801E-002	-4.8023671994E+000	9.0008676850E+003	4.7966537457E+000	-3.5827544452E-002	-1.7701226002E+002	2.4379931267E-007	-1.7316419888E-006	1.0000000000E+000	5	144	288	273	12	42	0.07036	288	273	16	32	0.07488	288	261	214	4	0.05024	288	232	51	33	0.26816	0.66
3322c_322_01~0017	"04/10/13 22:51:40"	D:/CGA/Users/Dugal/MSc	100016	16.0	11.3	7.7	8.7	7.8	3.6	7.2	5.2	5.2	5.2	Auto	Auto	Auto	Auto	Auto	18.046153	9.978461	87.035823	17.896831	-10.300921	93.346097	-18.056220	-9.990870	-93.422456	-17.888257	10.314391	-87.161548	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9804689077E-001	-3.7281661147E-003	3.0695548129E+003	8.7375194824E-004	-1.0002604768E+000	2.0342249329E+003	2.4733852434E-007	-1.9727347352E-006	1.0000000000E+000	-9.9731057422E-001	-6.6145222189E-003	3.0696378209E+003	2.4293494650E-003	-1.0002854899E+000	2.0271005530E+003	1.6223978776E-007	-2.7584862209E-006	1.0000000000E+000	9.9887599904E-001	-4.9480595283E-003	6.4504629306E+000	3.1361859277E-003	9.9723587410E-001	-1.9498456251E-001	1.3631447810E-007	-1.3480697783E-006	1.0000000000E+000	-2.2868639347E-002	-4.8023968307E+000	9.0001163069E+003	4.7965936619E+000	-3.5469345411E-002	-1.7730870142E+002	2.4101086666E-007	-1.7365347950E-006	1.0000000000E+000	5	144	288	280	13	34	0.08068	288	281	20	36	0.07362	288	237	183	7	0.05167	288	266	42	33	0.25790	0.93
3322c_322_01~0018	"04/10/13 22:52:40"	D:/CGA/Users/Dugal/MSc	100017	16.0	11.3	7.7	8.7	7.8	3.6	7.1	5.1	5.1	5.1	Auto	Auto	Auto	Auto	Auto	18.046210	9.978411	87.035828	17.896888	-10.301081	93.345226	-18.055940	-9.990961	-93.421274	-17.888665	10.314653	-87.160622	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9796486741E-001	-3.9019253748E-003	3.0693329408E+003	8.1737629421E-004	-1.0002005677E+000	2.0341602728E+003	2.0712476848E-007	-2.0695956689E-006	1.0000000000E+000	-9.9734128566E-001	-6.7909906909E-003	3.0698238661E+003	2.4902745733E-003	-1.0002979232E+000	2.0271222385E+003	2.3381235572E-007	-2.8451915470E-006	1.0000000000E+000	9.9867450043E-001	-5.0773701701E-003	6.8581214396E+000	3.2228104510E-003	9.9717723374E-001	-3.4277524025E-001	9.3036746725E-008	-1.3680727672E-006	1.0000000000E+000	-2.2887251666E-002	-4.8026660055E+000	9.0010407877E+003	4.7977401260E+000	-3.4831643011E-002	-1.7924010470E+002	2.7246556640E-007	-1.6932780364E-006	1.0000000000E+000	5	144	288	283	10	39	0.07075	288	283	32	32	0.07816	288	232	192	9	0.06614	288	298	49	34	0.27722	2.14
3322c_322_01~0019	"04/10/13 22:53:38"	D:/CGA/Users/Dugal/MSc	100018	16.0	8.0	7.7	8.7	7.8	3.7	3.7	5.2	5.2	5.2	Auto	Auto	Auto	Auto	Auto	18.046137	9.978340	87.035865	17.896291	-10.301335	93.344982	-18.056340	-9.990539	-93.424558	-17.887557	10.314611	-87.164152	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9799326054E-001	-3.8247985695E-003	3.0695109148E+003	8.9991509530E-004	-1.0003584283E+000	2.0342677150E+003	2.5876247163E-007	-2.0094792527E-006	1.0000000000E+000	-9.9727342262E-001	-6.7226833781E-003	3.0697228803E+003	2.5580955011E-003	-1.0003760079E+000	2.0270776032E+003	2.3668029017E-007	-2.8117247961E-006	1.0000000000E+000	9.9905694230E-001	-5.0604841553E-003	6.4751015535E+000	3.2409114313E-003	9.9734018258E-001	-5.4801402195E-001	1.8807670443E-007	-1.3620971597E-006	1.0000000000E+000	-2.3137013385E-002	-4.8023226393E+000	9.0004585083E+003	4.7963755085E+000	-3.5865946286E-002	-1.7729405054E+002	2.2209114281E-007	-1.7616807448E-006	1.0000000000E+000	5	144	288	281	14	43	0.07879	288	282	30	37	0.06942	480	403	334	10	0.05714	288	220	47	28	0.29695	2.03
3322c_322_01~0020	"04/10/13 22:54:44"	D:/CGA/Users/Dugal/MSc	100019	16.0	8.0	7.7	8.7	7.8	3.7	3.7	5.3	5.3	5.3	Auto	Auto	Auto	Auto	Auto	18.046517	9.978548	87.035726	17.896504	-10.300423	93.345634	-18.056114	-9.991369	-93.420713	-17.888445	10.314250	-87.161390	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9799392570E-001	-3.7882836274E-003	3.0695196787E+003	8.9624347926E-004	-1.0002985151E+000	2.0342765821E+003	2.5729699636E-007	-2.0005189331E-006	1.0000000000E+000	-9.9720510997E-001	-6.7055470348E-003	3.0695783718E+003	2.4705352752E-003	-1.0002891082E+000	2.0271513007E+003	2.0735326230E-007	-2.8139949805E-006	1.0000000000E+000	9.9883265870E-001	-5.2424803268E-003	6.7200397192E+000	3.2589273620E-003	9.9711275340E-001	-5.0251389326E-001	1.4707669979E-007	-1.4233973184E-006	1.0000000000E+000	-2.2779001076E-002	-4.8024534801E+000	9.0003420588E+003	4.7965679713E+000	-3.5563956912E-002	-1.7714369445E+002	2.3837505723E-007	-1.7230084080E-006	1.0000000000E+000	5	144	288	275	10	33	0.07749	288	278	8	34	0.07719	288	270	207	10	0.05107	288	229	40	37	0.22844	0.98
