X,Y,Num,DegrClass,Farm,ID
23.9925998901531,-33.5713494154767,0,Severe,Tchnuganu,ST51
23.992951740357,-33.5680200214867,1,Severe,Tchnuganu,ST52
23.995130230919,-33.5645973971331,2,Severe,Tchnuganu,ST53
23.9890420994389,-33.5692147351377,3,Severe,Tchnuganu,ST54
23.989714063324,-33.5696434342244,4,Severe,Tchnuganu,ST55
23.9918288470757,-33.5715456281964,5,Severe,Tchnuganu,ST56
23.9886660203748,-33.5722216727963,6,Severe,Tchnuganu,ST57
23.9905524197166,-33.5655628401723,7,Severe,Tchnuganu,ST58
23.9881609028862,-33.571277715155,8,Severe,Tchnuganu,ST59
23.9919873926288,-33.5663512891557,9,Severe,Tchnuganu,ST60
23.9873126413142,-33.5721087625602,10,Severe,Tchnuganu,ST61
23.9909108893171,-33.5666626080085,11,Severe,Tchnuganu,ST62
23.9896002086135,-33.5673460520712,12,Severe,Tchnuganu,ST63
23.9915825372899,-33.5672329762046,13,Severe,Tchnuganu,ST64
23.9924735659746,-33.5684736090818,14,Severe,Tchnuganu,ST65
23.9916238421216,-33.5695484125663,15,Severe,Tchnuganu,ST66
23.9907397693974,-33.5672042255656,16,Severe,Tchnuganu,ST67
23.9939469455456,-33.5642658621477,17,Severe,Tchnuganu,ST68
23.994484733629,-33.5643103934661,18,Severe,Tchnuganu,ST69
23.9874726738569,-33.5731452816459,19,Severe,Tchnuganu,ST70
